cod_ncm;nom_categoria;desc_ncm;ignore1;ignore2;ignore3;ignore4;ignore5;
03023100;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023100 - ATUNS-BRANCOS OU GERMÕES FRESCOS/REFR.;;;;;;
03023200;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023200 - ALBACORAS(THUNNUS ALBACARES), FRES.,REFR.;;;;;;
03023300;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023300 - BONITO-LISTR/VENTR RAIAD, FRES.,REFR.,EXC.FILÉS;;;;;;
03023400;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023400 - ALBACORAS-BAND.(THUNN OBESUS)FRESC.REFR.;;;;;;
03023500;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023500 - ATUNS AZUIS, FRESCOS OU REFRIGERADO;;;;;;
03023600;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023600 - ATUNS DO SUL (THUNNUS MACCOYII) FRESCO/REFR.;;;;;;
03023900;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023900 - OUTROS ATUNS FRESCOS OU REFRIGERADOS;;;;;;
03024100;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024100 - ARANQUES FRESCOS OU REFRIGERADOS;;;;;;
03024210;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024210 - ANCHOITA FRESCA OU REFRIGERADA;;;;;;
03024290;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024290 - OUTROS ARENQUES FRESCOS OU REFRIGERADOS;;;;;;
03024300;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024300 - SARDINHAS, ANCHOVETAS FRESCAS OU REFRIGERADAS;;;;;;
03024400;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024400 - CAVALINHAS FRESCAS OU REFRIGERADAS;;;;;;
03024500;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024500 - CHICHARROS FRESCOS OU REFRIGERADOS;;;;;;
03024600;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024600 - BIJUPIRÁ FRESCO OU REFRIGERADO;;;;;;
03024700;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024700 - ESPADARTE FRESCO OU REFRIGERADO;;;;;;
03024910;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;ESPADINS, MARLINS, VELEIROS (ISTIOPHORIDAE);;;;;;
03024990;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;Outros;;;;;;
03025100;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;"03025100 - BACALHAU-DO-ATLÂNTICO; DA-GROELÂNDIA D/PACÍF.FRESC./REF";;;;;;
03025200;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03025200 - HADDOCK OU LUBINA FRESCO OU REFRIGERADO;;;;;;
03025300;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03025300 - SAITHE (POLLACHIUS VIRENS) FRESCO OU REFRIGERADO;;;;;;
